timestamp,elapsed_s,proc_workingset_mb,proc_private_mb,sys_free_mb,sys_total_mb
2026-08-23T12:33:39.4319970-05:00,0,293.1,719.2,3081.4,10177
2026-08-23T12:33:42.5923875-05:00,3.5,393.6,831.1,2967.5,10177
2026-08-23T12:33:45.7380569-05:00,6.6,1314.7,2425.3,2054.2,10177
2026-08-23T12:33:48.9235813-05:00,9.8,1547.6,2829.2,1857.1,10177
2026-08-23T12:33:52.1280842-05:00,13,1545.1,2829.2,1862.6,10177
2026-08-23T12:33:55.3005790-05:00,16.2,2550.5,4561.6,853.1,10177
2026-08-23T12:33:58.5294334-05:00,19.3,3126,6005.4,380.3,10177
2026-08-23T12:34:01.6822423-05:00,22.6,2102.9,6774.9,249.8,10177
2026-08-23T12:34:06.6094353-05:00,26.3,2103,6774.9,526.7,10177
2026-08-23T12:34:14.4439559-05:00,30.7,2104,6774.9,733.3,10177
2026-08-23T12:34:18.3980750-05:00,38.9,2104.3,6774.9,1138.3,10177
2026-08-23T12:34:21.9529088-05:00,42.4,2811.3,7928.6,676.1,10177
2026-08-23T12:34:25.1472933-05:00,46,2811.3,7832.7,731,10177
2026-08-23T12:34:30.2704543-05:00,49.2,2811.5,7832.7,769,10177
2026-08-23T12:34:33.4784675-05:00,54.3,2813,7832.6,1063.2,10177
2026-08-23T12:34:36.8823747-05:00,57.8,2813,7832.6,1082.1,10177
2026-08-23T12:34:41.1593603-05:00,61.9,2813,7832.6,1126.9,10177
2026-08-23T12:34:44.3758624-05:00,65.2,2822.4,7832.6,1030.8,10177
2026-08-23T12:34:47.5259968-05:00,68.4,2910.7,7832.6,879.9,10177
2026-08-23T12:34:50.7155323-05:00,71.6,2914.4,7832.6,1094.6,10177
