timestamp,elapsed_s,proc_workingset_mb,proc_private_mb,sys_free_mb,sys_total_mb
2026-08-23T18:31:15.2850255-05:00,0,1081.8,2118.7,4216.6,10177
2026-08-23T18:31:16.5060320-05:00,1.5,1419.5,2695.9,3988.8,10177
2026-08-23T18:31:17.6534412-05:00,2.7,1412.9,2663.8,3968.8,10177
2026-08-23T18:31:18.8289517-05:00,3.8,1412.9,2663.8,3956.4,10177
2026-08-23T18:31:19.9837135-05:00,5,1424.9,2695.9,3957.3,10177
2026-08-23T18:31:21.1747644-05:00,6.1,1424.9,2695.9,3955.3,10177
2026-08-23T18:31:22.4666016-05:00,7.3,1412.9,2663.8,3949.3,10177
2026-08-23T18:31:23.6312477-05:00,8.6,1444.6,2727.9,3880.2,10177
2026-08-23T18:31:24.7590701-05:00,9.8,2013.1,3722.9,3318.8,10177
2026-08-23T18:31:25.8740482-05:00,10.9,2521.7,4588.6,2805.6,10177
2026-08-23T18:31:27.0473249-05:00,12,3034.5,5455.2,2300.9,10177
2026-08-23T18:31:28.2534106-05:00,13.3,3487.6,6224.7,1836.9,10177
2026-08-23T18:31:29.4286172-05:00,14.4,3903.3,6930.1,1436.9,10177
2026-08-23T18:31:30.5574393-05:00,15.6,4262.2,7508.3,1105,10177
2026-08-23T18:31:31.7284328-05:00,16.7,4618,7957.1,772.7,10177
2026-08-23T18:31:32.9271531-05:00,17.9,4739.9,12450.8,675.1,10177
2026-08-23T18:31:34.1764325-05:00,19.1,5036.6,12450.8,440.5,10177
2026-08-23T18:31:35.5104136-05:00,20.3,4022.2,12450.8,363.1,10177
2026-08-23T18:31:36.7258661-05:00,21.7,2743.1,12450.8,240.4,10177
2026-08-23T18:31:37.9586799-05:00,22.9,1941,12450.8,174.5,10177
2026-08-23T18:31:39.4180827-05:00,24.1,1463.9,12450.8,421.8,10177
2026-08-23T18:31:40.7303637-05:00,25.6,1742.8,12450.8,396.8,10177
2026-08-23T18:31:41.9325122-05:00,26.9,1724.3,12450.8,443.3,10177
2026-08-23T18:31:43.1302924-05:00,28.1,1817.7,12450.8,508.4,10177
2026-08-23T18:31:44.3513891-05:00,29.3,1987.2,12450.8,432.5,10177
2026-08-23T18:31:45.6450265-05:00,30.5,1879.6,12450.8,439.3,10177
