timestamp,elapsed_s,proc_workingset_mb,proc_private_mb,sys_free_mb,sys_total_mb
2026-08-23T19:25:02.5341518-05:00,0,798,1606.3,4923.7,10177
2026-08-23T19:25:03.6952192-05:00,1.6,1183.7,2279.7,4559.5,10177
2026-08-23T19:25:04.8761922-05:00,2.7,1425.4,2696.5,4362.3,10177
2026-08-23T19:25:06.0709604-05:00,3.9,1422.9,2696.5,4350.9,10177
2026-08-23T19:25:07.2752930-05:00,5.1,1413.3,2664.4,4343.4,10177
2026-08-23T19:25:08.4629614-05:00,6.3,1425.4,2696.5,4338.2,10177
2026-08-23T19:25:09.6503046-05:00,7.5,1425.4,2696.5,4337.2,10177
2026-08-23T19:25:10.8331858-05:00,8.7,1426.4,2696.5,4328.7,10177
2026-08-23T19:25:12.0064443-05:00,9.9,1413.3,2664.4,4308.6,10177
2026-08-23T19:25:13.1513685-05:00,11,1807.9,3338.7,3867.9,10177
2026-08-23T19:25:14.2785335-05:00,12.2,2411.8,4396.8,3260,10177
2026-08-23T19:25:15.4457896-05:00,13.3,2781.4,5039,2906.9,10177
2026-08-23T19:25:16.5769105-05:00,14.5,3220.8,5776.5,2474.5,10177
2026-08-23T19:25:17.6960992-05:00,15.6,3722.7,6642.2,2006,10177
2026-08-23T19:25:18.8309205-05:00,16.7,4145,7283.4,1573.4,10177
2026-08-23T19:25:19.9918833-05:00,17.8,4629.1,7989.8,1082.2,10177
2026-08-23T19:25:21.2220690-05:00,19,4815.3,12448.4,903.4,10177
2026-08-23T19:25:22.3371466-05:00,20.2,5032.6,12448.4,718.3,10177
2026-08-23T19:25:23.5283335-05:00,21.4,5087.4,12448.4,700.1,10177
2026-08-23T19:25:24.6725267-05:00,22.5,5284.2,12448.4,532.6,10177
2026-08-23T19:25:25.8707630-05:00,23.7,5162.5,12448.4,328.4,10177
2026-08-23T19:25:27.0907730-05:00,24.9,4230.8,12448.4,244,10177
2026-08-23T19:25:28.3067440-05:00,26.1,3037.8,12448.4,126.4,10177
2026-08-23T19:25:29.6366797-05:00,27.3,2393.2,12448.4,395.7,10177
2026-08-23T19:25:30.8840122-05:00,28.6,2607.9,12448.4,368.3,10177
2026-08-23T19:25:32.1163113-05:00,29.9,2094.2,12448.4,369,10177
2026-08-23T19:25:33.2904867-05:00,31.1,2075.6,12448.4,434.1,10177
2026-08-23T19:25:34.5275667-05:00,32.3,2075.6,12448.4,469.8,10177
2026-08-23T19:25:40.5759707-05:00,38.5,2081.6,12448.4,573.8,10177
2026-08-23T19:25:41.6996353-05:00,39.6,1708.9,12448.4,741.3,10177
2026-08-23T19:25:42.8158388-05:00,40.7,1714.9,12448.4,950.7,10177
2026-08-23T19:25:44.3825671-05:00,42.3,1716,12448.4,970.1,10177
2026-08-23T19:25:45.5044502-05:00,43.4,1718.1,12448.4,996.5,10177
2026-08-23T19:25:46.6214165-05:00,44.5,1720.1,12448.4,1010.7,10177
2026-08-23T19:25:48.4323445-05:00,46.2,1721.1,12448.4,1035.6,10177
2026-08-23T19:25:50.0588308-05:00,47.4,1722.4,12448.4,1045.6,10177
2026-08-23T19:25:51.1701898-05:00,49.1,1724.7,12448.4,1087.4,10177
2026-08-23T19:25:52.3771939-05:00,50.2,1918.5,12448.3,1104.7,10177
2026-08-23T19:25:53.4893447-05:00,51.4,2035.8,12448.3,1103.6,10177
2026-08-23T19:25:55.0222065-05:00,52.9,2037.4,12448.3,1124.5,10177
2026-08-23T19:25:56.3619263-05:00,54.2,2047,12448.3,1134.1,10177
2026-08-23T19:25:57.6633329-05:00,55.4,2062.1,12448.3,1119.7,10177
2026-08-23T19:25:58.8064980-05:00,56.7,2296.3,12448.3,1120.8,10177
2026-08-23T19:25:59.9086090-05:00,57.8,2506.1,12448.3,1095.1,10177
2026-08-23T19:26:03.9117696-05:00,61.8,2525.9,12448.3,1126.9,10177
2026-08-23T19:26:05.0393753-05:00,62.9,2526.5,12448.3,1130.1,10177
2026-08-23T19:26:06.2155917-05:00,64.1,2539.4,12448.3,1129.7,10177
2026-08-23T19:26:07.3502930-05:00,65.2,2551.1,12448.3,1134.9,10177
2026-08-23T19:26:08.4912415-05:00,66.4,2572.7,12448.3,1086.4,10177
2026-08-23T19:26:09.6845718-05:00,67.5,2594.7,12448.3,1123.7,10177
2026-08-23T19:26:10.9121302-05:00,68.7,2649.2,12448.3,1169.9,10177
2026-08-23T19:26:12.0738871-05:00,69.9,2932.5,12448.3,1114.6,10177
2026-08-23T19:26:13.2351586-05:00,71.1,3195.9,12448.3,1131.7,10177
2026-08-23T19:26:14.3604439-05:00,72.2,3338.5,12448.3,1067.7,10177
2026-08-23T19:26:15.8040294-05:00,73.7,3340.8,12448.3,1078.7,10177
2026-08-23T19:26:16.9456134-05:00,74.8,3216.9,12448.3,1212.5,10177
2026-08-23T19:26:18.0873109-05:00,76,3302.1,12448.3,1125.5,10177
2026-08-23T19:26:19.2045288-05:00,77.1,3312.4,12448.3,1170.2,10177
2026-08-23T19:26:20.3303149-05:00,78.2,3336.7,12448.3,1130.3,10177
2026-08-23T19:26:21.4548706-05:00,79.3,3351.9,12448.3,1136.5,10177
2026-08-23T19:26:22.5855277-05:00,80.5,3376.4,12448.3,1122.9,10177
2026-08-23T19:26:23.7066535-05:00,81.6,3376.7,12448.3,1133.3,10177
2026-08-23T19:26:24.9734041-05:00,82.8,3561.6,12448.3,1123.6,10177
2026-08-23T19:26:26.1177676-05:00,84,3752.3,12448.3,1067.3,10177
2026-08-23T19:26:27.2452209-05:00,85.1,3900.7,12448.3,1134.5,10177
2026-08-23T19:26:28.3547183-05:00,86.3,3901.7,12448.3,1133.2,10177
2026-08-23T19:26:29.4840156-05:00,87.4,3913.1,12448.3,1136.9,10177
2026-08-23T19:26:30.5991148-05:00,88.5,3937.9,12448.3,1132.4,10177
2026-08-23T19:26:31.7345942-05:00,89.6,3953.2,12448.3,1121.1,10177
2026-08-23T19:26:33.7496878-05:00,91.6,3955.5,12448.3,1128.7,10177
2026-08-23T19:26:35.2160515-05:00,93.1,4012.8,12448.3,1065.6,10177
2026-08-23T19:26:36.4024658-05:00,94.2,4034.5,12448.3,1049.6,10177
