timestamp,elapsed_s,proc_workingset_mb,proc_private_mb,sys_free_mb,sys_total_mb
2026-08-23T18:38:00.4632878-05:00,0,289.3,714.8,5427.9,10177
2026-08-23T18:38:01.6149214-05:00,1.4,308.8,735.2,5404.6,10177
2026-08-23T18:38:02.7524166-05:00,2.6,332.7,759.2,5367.5,10177
2026-08-23T18:38:03.8731703-05:00,3.7,577.7,1216.7,5091.4,10177
2026-08-23T18:38:05.0093611-05:00,4.8,1060,2018.2,4590.6,10177
2026-08-23T18:38:06.1721936-05:00,6,1518,2788.8,4201.8,10177
2026-08-23T18:38:07.3596509-05:00,7.1,1521.5,2788.8,4181.4,10177
2026-08-23T18:38:08.5388907-05:00,8.3,1520.5,2788.8,4181.2,10177
2026-08-23T18:38:09.6966547-05:00,9.5,1521.5,2788.8,4185.5,10177
2026-08-23T18:38:10.8799614-05:00,10.6,1521.5,2788.8,4189.1,10177
2026-08-23T18:38:12.0530201-05:00,11.8,1520.5,2788.8,4181.4,10177
2026-08-23T18:38:13.2177520-05:00,13,1697.2,3109.6,3967.8,10177
2026-08-23T18:38:14.3567225-05:00,14.2,2114.4,3815,3534,10177
2026-08-23T18:38:15.4794870-05:00,15.3,2678.5,4777.9,2988.1,10177
2026-08-23T18:38:16.5999234-05:00,16.4,3191.2,5643.6,2474.6,10177
2026-08-23T18:38:17.7218364-05:00,17.5,3671,6477.3,2000.9,10177
2026-08-23T18:38:18.8850603-05:00,18.7,4071.4,7119.6,1598.5,10177
2026-08-23T18:38:20.0261899-05:00,19.8,4554.3,7889.1,1138.5,10177
2026-08-23T18:38:21.1682948-05:00,21,4777.2,12542,956.7,10177
2026-08-23T18:38:22.3336722-05:00,22.1,5023.6,12543,719.4,10177
2026-08-23T18:38:23.5423993-05:00,23.3,5278.7,12543,432,10177
2026-08-23T18:38:24.7503475-05:00,24.5,4186.5,12543,302.9,10177
2026-08-23T18:38:25.9589903-05:00,25.7,2991.6,12543,181.6,10177
2026-08-23T18:38:27.1418590-05:00,26.9,1900.6,12543,334.1,10177
2026-08-23T18:38:28.3618738-05:00,28.1,2026.4,12543,419.5,10177
2026-08-23T18:38:29.6681923-05:00,29.3,2227.2,12543,420.4,10177
2026-08-23T18:38:30.8832851-05:00,30.6,2385.9,12543,424.5,10177
2026-08-23T18:38:32.0741844-05:00,31.8,2635.6,12543,444.8,10177
2026-08-23T18:38:33.2616291-05:00,33,2902.7,12543,423.9,10177
2026-08-23T18:38:34.4309749-05:00,34.2,2685.1,12543,287,10177
2026-08-23T18:38:35.6190075-05:00,35.4,2684.8,12543,219.8,10177
2026-08-23T18:38:36.8391075-05:00,36.6,2673.3,12543,219.2,10177
2026-08-23T18:38:38.0261967-05:00,37.8,2737.9,12543,214.1,10177
2026-08-23T18:38:39.2354466-05:00,39,2905.8,12543,253.4,10177
2026-08-23T18:38:40.4149708-05:00,40.2,2973.9,12543,216.7,10177
2026-08-23T18:38:41.6355591-05:00,41.4,3052.4,12543,221.4,10177
2026-08-23T18:38:42.8470996-05:00,42.6,2986.3,12543,295.3,10177
2026-08-23T18:38:44.0331172-05:00,43.8,3168.4,12543,211.8,10177
2026-08-23T18:38:45.3213163-05:00,45,3114.2,12543,223.7,10177
2026-08-23T18:38:46.6085470-05:00,46.3,3140.3,12543,221.2,10177
2026-08-23T18:38:47.8443637-05:00,47.5,3227.4,12543,276.5,10177
2026-08-23T18:38:49.0063015-05:00,48.8,3230.2,12543,283.8,10177
