t_s,rss_mb,uss_mb,sys_avail_mb,cpu_sys_pct,cpu_proc_pct,vram_alloc_mb,vram_reserved_mb,vram_used_nvml_mb,vram_free_nvml_mb,gpu_util_pct,gpu_temp_c,gpu_power_w
0.06,731.1,717.3,25511.5,17.0,421.4,0.0,0.0,415.5,8170.2,17.0,42.0,10.4
0.60,978.4,1068.5,25044.9,35.5,635.9,0.0,0.0,415.5,8170.2,17.0,42.0,10.2
0.87,1400.4,1405.7,24604.2,50.7,911.7,0.0,0.0,415.5,8170.2,17.0,42.0,10.2
1.10,1259.4,1244.3,24936.3,16.8,290.4,0.0,0.0,415.5,8170.2,0.0,42.0,10.3
1.33,1267.0,1253.4,24915.1,8.8,151.9,0.0,0.0,415.5,8170.2,0.0,42.0,10.3
1.54,1500.4,1488.6,24688.8,7.7,125.8,0.0,0.0,415.5,8170.2,0.0,42.0,10.3
1.76,1734.4,1722.7,24465.9,6.7,106.0,0.0,0.0,415.5,8170.2,0.0,42.0,10.3
1.97,1970.6,1958.5,24228.8,6.9,110.7,0.0,0.0,415.5,8170.2,0.0,42.0,10.2
2.19,2207.0,2194.6,23993.1,6.7,105.9,0.0,0.0,415.5,8170.2,0.0,42.0,10.2
2.41,2443.5,2430.6,23761.7,7.3,110.5,0.0,0.0,415.5,8170.2,0.0,42.0,10.3
2.64,2510.9,2495.8,23675.3,59.4,1154.7,0.0,0.0,415.5,8170.2,0.0,42.0,10.3
2.87,2515.1,2500.0,23671.4,67.0,1305.5,0.0,0.0,415.5,8170.2,0.0,42.0,10.3
3.10,2515.1,2500.0,23664.7,67.5,1310.3,0.0,0.0,415.5,8170.2,0.0,42.0,10.2
3.33,2515.1,2500.0,23664.0,67.2,1304.1,0.0,0.0,415.5,8170.2,0.0,42.0,10.2
3.55,2690.6,2676.2,23522.9,18.6,349.9,0.0,0.0,415.5,8170.2,0.0,43.0,10.1
3.77,2923.4,2909.2,23273.0,6.7,105.3,0.0,0.0,415.5,8170.2,0.0,43.0,10.1
3.99,3161.2,3146.3,23038.0,6.2,109.3,0.0,0.0,415.5,8170.2,0.0,43.0,10.2
4.21,3384.0,3371.5,22811.4,7.3,108.5,0.0,0.0,415.5,8170.2,0.0,43.0,10.2
4.43,3615.5,3602.9,22583.6,7.4,103.5,0.0,0.0,415.5,8170.2,0.0,43.0,10.2
4.65,3847.1,3834.6,22348.3,7.2,108.2,0.0,0.0,415.5,8170.2,0.0,43.0,10.2
4.88,4081.8,4068.0,22116.5,7.0,112.2,0.0,0.0,415.5,8170.2,0.0,43.0,10.2
5.10,4319.9,4307.4,21884.0,7.2,102.6,0.0,0.0,415.5,8170.2,0.0,43.0,10.2
5.33,4555.5,4543.2,21636.5,7.3,115.1,0.0,0.0,415.5,8170.2,0.0,43.0,10.2
5.55,4802.4,4788.9,21388.8,7.1,111.1,0.0,0.0,415.5,8170.2,0.0,43.0,10.2
5.78,5049.8,5036.5,21149.1,6.9,106.4,0.0,0.0,415.5,8170.2,0.0,43.0,10.2
6.00,5292.9,5279.3,20901.6,7.2,111.4,0.0,0.0,415.5,8170.2,0.0,43.0,10.3
6.23,5541.3,5527.9,20655.7,7.2,110.9,0.0,0.0,415.5,8170.2,0.0,43.0,10.3
6.45,5789.7,5774.5,20415.5,6.9,110.6,0.0,0.0,415.5,8170.2,0.0,43.0,10.3
6.91,6175.5,6234.8,20226.1,7.0,106.8,2074.3,2080.4,2599.8,5985.9,72.0,44.0,11.0
7.31,9621.5,9891.7,20220.6,7.3,108.3,4631.8,4643.1,5162.5,3423.2,72.0,44.0,11.0
7.54,6002.2,5986.9,20223.6,7.2,112.6,4631.8,4643.1,5162.5,3423.2,72.0,44.0,13.1
7.77,6002.2,5986.9,20223.4,7.4,108.2,4631.8,4643.1,5162.5,3423.2,72.0,44.0,13.1
8.01,5398.0,5282.1,20909.6,7.2,113.5,821.3,4643.1,5162.5,3423.2,27.0,44.0,14.7
