t_s,rss_mb,uss_mb,sys_avail_mb,cpu_sys_pct,cpu_proc_pct,vram_alloc_mb,vram_reserved_mb,vram_used_nvml_mb,vram_free_nvml_mb,gpu_util_pct,gpu_temp_c,gpu_power_w
0.03,729.2,715.5,25766.0,10.0,140.9,0.0,0.0,415.5,8170.2,17.0,35.0,11.0
0.35,787.7,772.6,25699.1,19.3,336.0,0.0,0.0,415.5,8170.2,17.0,35.0,11.0
0.66,872.6,859.3,25616.4,9.8,153.7,0.0,0.0,415.5,8170.2,17.0,35.0,10.8
0.97,1212.9,1199.6,25276.3,6.9,102.0,0.0,0.0,415.5,8170.2,0.0,35.0,10.8
1.29,1550.3,1536.8,24944.0,6.7,104.3,0.0,0.0,415.5,8170.2,0.0,35.0,10.8
1.60,1893.4,1879.4,24607.6,6.5,107.5,0.0,0.0,415.5,8170.2,0.0,35.0,10.9
1.93,2032.7,2017.5,24526.1,46.1,869.2,0.0,0.0,415.5,8170.2,0.0,36.0,10.9
2.25,2049.3,2034.2,24457.2,65.7,1129.5,0.0,0.0,415.5,8170.2,0.0,36.0,10.9
2.58,2049.3,2034.2,24410.5,67.9,1286.0,0.0,0.0,415.5,8170.2,0.0,36.0,10.9
2.91,2049.3,2034.2,24292.2,61.5,1155.2,0.0,0.0,415.5,8170.2,0.0,36.0,10.8
3.23,2376.1,2362.1,24035.5,7.7,106.6,0.0,0.0,415.5,8170.2,0.0,36.0,10.8
3.55,2705.4,2691.6,23705.1,22.4,103.3,0.0,0.0,415.5,8170.2,0.0,36.0,10.8
3.87,3048.4,3034.6,23339.5,12.3,104.9,0.0,0.0,415.5,8170.2,0.0,36.0,10.8
4.19,3393.7,3380.2,22992.9,7.2,108.6,0.0,0.0,415.5,8170.2,0.0,36.0,10.9
4.51,3735.4,3722.0,22629.1,7.5,105.4,0.0,0.0,415.5,8170.2,0.0,36.0,10.9
4.84,4083.6,4070.3,22282.1,7.0,105.2,0.0,0.0,415.5,8170.2,0.0,36.0,10.9
5.16,4431.1,4417.2,21948.8,7.0,104.8,0.0,0.0,415.5,8170.2,0.0,36.0,10.9
5.49,4767.0,4753.8,21604.1,6.6,104.7,0.0,0.0,415.5,8170.2,0.0,36.0,10.9
5.81,5125.3,5111.9,21248.8,6.9,107.5,0.0,0.0,415.5,8170.2,0.0,36.0,10.9
6.72,5525.0,5585.4,20918.0,6.0,87.5,1431.7,1449.1,1968.6,6617.2,0.0,37.0,11.0
7.48,7751.9,7837.7,20952.1,6.9,85.6,3401.3,3403.7,3923.1,4662.6,26.0,37.0,11.4
8.00,9819.0,10116.5,20959.7,6.2,87.3,4631.8,4643.1,5162.5,3423.2,28.0,37.0,11.4
8.34,5528.0,5512.8,20959.5,7.2,109.8,4631.8,4643.1,5162.5,3423.2,28.0,37.0,11.4
8.68,5074.9,4992.6,21390.7,7.1,103.6,607.1,4643.1,5162.5,3423.2,28.0,38.0,12.0
9.01,2912.8,2851.5,23469.7,7.6,105.7,2897.3,4643.1,5162.5,3423.2,69.0,38.0,13.1
9.33,1153.9,1138.8,25127.1,7.2,99.8,2831.9,4643.1,5175.1,3410.6,69.0,38.0,13.1
9.76,1170.4,1157.3,25110.0,6.8,93.0,2831.9,4643.1,5175.1,3410.6,69.0,39.0,14.4
10.08,1357.0,1342.3,24958.0,6.3,88.1,2944.7,4643.1,5194.0,3391.8,0.0,38.0,13.8
10.39,1483.2,1468.0,24865.2,7.1,97.6,3781.1,4643.1,5194.0,3391.8,0.0,38.0,13.8
10.71,1483.3,1468.0,24875.4,6.6,103.7,4448.1,4643.1,5194.0,3391.8,0.0,41.0,21.5
11.03,1553.3,1538.0,24813.9,6.9,100.4,4589.2,4810.9,5361.8,3224.0,100.0,44.0,33.8
11.35,1709.0,1693.7,24680.0,6.6,100.0,5376.6,6367.0,6922.0,1663.7,100.0,44.0,33.8
11.67,1762.7,1747.4,24663.0,6.6,99.5,3978.9,6367.0,6922.0,1663.7,100.0,44.0,37.6
